ï»¿Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,11731193,12612043,13811876,15175325,16485018,17586073,18415307,19021226,19496836,19987071,20595360,21347782,22202806,23116142,24018682,24860855,25631282,26349243,27032197,27708187,28397812,29105480,29824536,30551674
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3064111,3051427,3033659,3014579,2992724,2968028,2940880,2912559,2884303,2856673,2829337,2801681,2773620
"Population, total",SP.POP.TOTL,Algeria,DZA,26239708,26893663,27535151,28157560,28752749,29315463,29845208,30345466,30820435,31276295,31719449,32150198,32572977,33003442,33461345,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705,39208194
"Population, total",SP.POP.TOTL,American Samoa,ASM,47044,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58652,57919,57053,56245,55636,55274,55128,55165
"Population, total",SP.POP.TOTL,Andorra,ADO,54511,56674,58904,61003,62707,63854,64274,64090,63799,64084,65399,68000,71639,75643,79060,81223,81877,81292,79969,78659,77907,77865,78360,79218
"Population, total",SP.POP.TOTL,Angola,AGO,10333844,10652727,11002758,11372156,11743432,12104952,12451945,12791388,13137542,13510616,13924930,14385283,14886574,15421075,15976715,16544376,17122409,17712824,18314441,18926650,19549124,20180490,20820525,21471618
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,61906,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85349,86300,87233,88152,89069,89985
"Population, total",SP.POP.TOTL,Argentina,ARG,32624874,33075194,33520803,33961947,34399343,34833168,35264070,35690778,36109342,36514558,36903067,37273361,37627545,37970411,38308779,38647854,38988923,39331357,39676083,40023641,40374224,40728738,41086927,41446246
"Population, total",SP.POP.TOTL,Armenia,ARM,3544695,3511912,3449497,3369673,3289943,3223173,3173425,3137652,3112958,3093820,3076098,3059960,3047002,3036032,3025652,3014917,3002911,2989882,2977488,2968154,2963496,2964120,2969081,2976566
"Population, total",SP.POP.TOTL,Aruba,ABW,62148,64623,68235,72498,76700,80326,83195,85447,87276,89004,90858,92894,94995,97015,98742,100031,100830,101219,101344,101418,101597,101932,102384,102911
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031800,22340000,22723900,23130900
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8300788,8336926,8365275,8389771,8406187,8429991,8473786
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416598
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256338,261102,266097,271105,275820,280050,283678,286845,289926,293442,297759,303005,309039,315624,322400,329088,335622,342049,348340,354492,360498,366331,371960,377374
"Population, total",SP.POP.TOTL,Bahrain,BHR,495944,509645,522751,535711,549170,563730,579697,597400,617537,640913,668239,698749,732541,772058,820505,879534,950951,1032353,1116038,1191539,1251513,1292764,1317827,1332171
"Population, total",SP.POP.TOTL,Bangladesh,BGD,107385847,109934590,112430968,114897543,117369492,119869585,122400896,124945315,127478524,129966823,132383265,134729503,137006279,139185986,141235035,143135180,144868702,146457067,147969967,149503100,151125475,152862431,154695368,156594962
"Population, total",SP.POP.TOTL,Barbados,BRB,259336,260175,260963,261714,262441,263165,263884,264606,265370,266220,267190,268296,269524,270844,272205,273568,274923,276277,277634,279006,280396,281804,283221,284644
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10035000,10005000,9928000,9865000,9797000,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246,11195138
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,191368,194894,198420,202348,206962,212375,218484,225083,231860,238586,245198,251766,258346,265040,271920,278985,286196,293544,301016,308595,316280,324060,331900
"Population, total",SP.POP.TOTL,Benin,BEN,5001271,5182525,5378226,5582420,5786794,5985658,6176318,6361301,6546493,6740491,6949366,7174911,7414744,7665681,7922796,8182362,8443671,8707490,8973293,9240783,9509798,9779795,10050702,10323474
